seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12724,2024,SCO.1,264,7331,16,2,8,11,3,0,0,0,0,5,13,4,0,0,20,2025-05-13 04:46:54
12724,2024,SCO.1,259,15327,29,3,30,7,11,0,0,1,1,4,15,0,0,0,46,2024-07-13 02:56:32
12724,2024,SCO.1,257,16264,10,0,0,2,0,0,0,0,0,0,0,0,0,19,10,2025-05-13 04:46:56
12724,2024,SCO.1,262,17617,33,0,1,4,1,0,0,0,0,0,0,0,0,77,43,2025-05-13 04:46:55
12724,2024,SCO.1,264,17902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:54
12724,2024,SCO.1,263,26027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-04 05:41:05
12724,2024,SCO.1,250,29239,32,2,32,19,6,0,0,1,0,5,21,1,0,0,39,2025-05-13 04:46:57
12724,2024,SCO.1,259,38397,28,11,20,5,1,0,0,2,1,4,20,2,0,0,30,2024-07-13 02:56:32
12724,2024,SCO.1,256,40200,31,0,0,2,0,0,0,0,0,0,0,0,0,71,21,2025-05-13 04:46:54
12724,2024,SCO.1,261,40299,3,0,3,2,1,0,0,0,0,0,2,0,0,0,5,2025-02-12 05:41:33
12724,2024,SCO.1,259,42193,3,1,0,0,0,0,0,0,0,0,0,0,0,3,8,2024-07-13 02:56:32
12724,2024,SCO.1,263,43235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-20 05:04:53
12724,2024,SCO.1,261,46115,20,0,0,3,2,0,0,1,0,0,0,0,0,69,43,2025-05-13 04:46:54
12724,2024,SCO.1,267,82553,15,2,6,9,0,0,0,0,0,0,2,0,0,0,24,2025-01-04 05:41:09
12724,2024,SCO.1,256,82568,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-08-30 05:04:10
12724,2024,SCO.1,256,84049,33,1,13,21,3,0,0,3,0,10,36,8,0,0,21,2025-05-13 04:46:54
12724,2024,SCO.1,261,92717,5,4,2,3,0,0,0,0,0,0,0,0,0,0,4,2025-05-13 04:46:54
12724,2024,SCO.1,260,103404,33,12,30,17,3,0,0,1,0,9,19,4,0,0,39,2025-05-13 04:46:55
12724,2024,SCO.1,267,103469,20,4,3,10,2,0,0,1,0,4,12,0,0,0,34,2025-05-13 04:46:57
12724,2024,SCO.1,259,108365,33,9,17,29,3,0,0,0,0,5,12,3,0,0,40,2024-07-13 02:56:32
12724,2024,SCO.1,258,116662,26,9,20,26,1,0,0,2,0,6,33,4,0,0,13,2025-05-13 04:46:55
12724,2024,SCO.1,267,118996,15,3,4,19,2,0,0,0,0,1,3,0,0,0,16,2025-05-13 04:46:57
12724,2024,SCO.1,261,119083,14,10,7,9,1,0,0,0,0,6,13,2,0,0,6,2025-01-26 05:35:01
12724,2024,SCO.1,256,119088,27,4,18,23,5,0,0,7,0,3,12,0,0,0,10,2025-05-13 04:46:54
12724,2024,SCO.1,257,121550,18,7,13,12,1,0,0,1,0,3,13,1,0,0,8,2025-05-13 04:46:56
12724,2024,SCO.1,260,123113,29,7,32,19,3,0,0,1,0,14,44,4,0,0,38,2025-05-13 04:46:55
12724,2024,SCO.1,266,126345,10,3,2,6,1,0,0,0,0,1,3,1,0,0,10,2025-05-13 04:46:56
12724,2024,SCO.1,259,126421,24,13,9,27,1,0,0,1,5,9,21,1,0,0,22,2024-07-13 02:56:32
12724,2024,SCO.1,266,127035,32,2,17,19,4,2,0,2,0,10,37,3,0,0,49,2025-05-13 04:46:56
12724,2024,SCO.1,251,128631,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-05-13 04:46:56
12724,2024,SCO.1,250,133463,16,3,4,3,0,0,0,1,0,3,12,2,0,0,21,2025-05-13 04:46:57
12724,2024,SCO.1,256,133852,8,7,2,1,0,0,0,0,0,2,8,0,0,0,1,2025-02-01 14:44:20
12724,2024,SCO.1,262,135183,2,0,0,1,0,0,0,0,0,0,0,0,0,7,3,2025-05-13 04:46:55
12724,2024,SCO.1,259,137367,16,6,18,19,4,1,0,1,1,6,15,1,0,0,20,2024-07-13 02:56:32
12724,2024,SCO.1,263,138206,34,5,44,65,8,0,0,3,0,3,19,1,0,0,47,2025-05-13 04:46:53
12724,2024,SCO.1,262,138660,10,7,3,2,0,0,0,2,0,3,8,0,0,0,2,2025-01-11 05:40:16
12724,2024,SCO.1,258,139748,34,7,10,36,6,0,0,5,0,23,58,13,0,0,32,2025-05-13 04:46:55
12724,2024,SCO.1,264,140037,18,14,14,9,3,0,0,0,0,10,20,3,0,0,12,2025-05-13 04:46:54
