seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13270,2025,BRA.1,2022,11632,8,0,7,4,1,0,0,0,2,6,14,0,0,1,6,2025-05-13 04:48:48
13270,2025,BRA.1,6273,24388,4,1,2,3,1,0,0,0,0,1,5,0,0,1,5,2025-05-13 04:48:50
13270,2025,BRA.1,6270,36805,3,3,0,4,0,0,0,0,1,1,3,0,0,0,0,2025-05-13 04:48:50
13270,2025,BRA.1,3454,43711,3,1,4,1,0,0,0,0,0,0,3,0,0,1,4,2025-05-13 04:48:53
13270,2025,BRA.1,2029,67518,7,0,4,4,1,0,0,1,0,4,7,2,0,1,2,2025-05-13 04:48:51
13270,2025,BRA.1,3445,74906,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:48:49
13270,2025,BRA.1,2022,77577,7,1,7,8,3,0,0,1,1,1,4,1,0,1,7,2025-05-13 04:48:48
13270,2025,BRA.1,9967,82782,8,0,6,7,1,0,0,0,0,0,5,0,0,15,8,2025-05-13 04:48:47
13270,2025,BRA.1,6086,83178,3,3,1,1,0,0,0,0,0,2,4,0,0,1,0,2025-05-13 04:48:47
13270,2025,BRA.1,3454,84877,4,2,2,7,0,0,0,2,0,0,2,0,0,0,3,2025-05-13 04:48:53
13270,2025,BRA.1,9169,94310,7,3,8,5,1,0,0,2,0,6,18,2,0,1,4,2025-05-13 04:48:51
13270,2025,BRA.1,7632,95558,4,1,3,2,1,0,0,0,0,0,9,0,0,2,2,2025-05-13 04:48:47
13270,2025,BRA.1,7635,95831,3,3,2,1,0,0,0,0,0,2,4,0,0,0,0,2025-05-13 04:48:52
13270,2025,BRA.1,6272,95849,3,0,4,1,1,1,0,0,0,0,0,0,0,2,1,2025-05-13 04:48:49
13270,2025,BRA.1,3445,96254,4,0,1,2,0,0,0,0,0,0,2,0,0,3,6,2025-05-13 04:48:49
13270,2025,BRA.1,6272,98398,6,3,5,1,1,0,0,0,0,0,4,0,0,6,5,2025-05-13 04:48:49
13270,2025,BRA.1,6270,99364,4,0,0,0,0,0,0,0,1,0,0,0,69,23,7,2025-05-13 04:48:50
13270,2025,BRA.1,2022,108103,7,1,12,4,1,0,0,2,2,1,6,0,0,2,3,2025-05-13 04:48:48
13270,2025,BRA.1,2022,108342,5,0,6,3,1,0,0,0,0,0,1,0,0,0,2,2025-05-13 04:48:48
13270,2025,BRA.1,2022,108347,8,0,0,0,2,0,0,0,0,0,0,0,102,30,7,2025-05-13 04:48:48
13270,2025,BRA.1,2029,109962,7,3,7,3,1,0,0,0,1,2,3,1,0,1,3,2025-05-13 04:48:51
13270,2025,BRA.1,2026,113352,1,0,4,2,0,0,0,0,0,0,2,0,0,1,0,2025-05-13 04:48:52
13270,2025,BRA.1,3454,114031,6,6,2,1,1,0,0,0,1,1,2,0,0,0,1,2025-05-13 04:48:53
13270,2025,BRA.1,9169,115379,8,1,7,2,2,0,0,1,1,6,7,4,0,2,10,2025-05-13 04:48:51
13270,2025,BRA.1,2029,118395,6,0,6,3,2,0,0,0,5,1,3,0,0,2,2,2025-05-13 04:48:51
13270,2025,BRA.1,9967,118688,7,3,8,6,1,0,0,0,0,2,8,0,0,1,6,2025-05-13 04:48:47
