seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13243,2025,CHN.1,21506,21544,11,0,8,15,2,0,0,0,0,1,5,0,0,0,20,2025-05-13 04:50:56
13243,2025,CHN.1,21507,30970,11,2,7,6,0,0,0,2,0,3,11,2,0,0,17,2025-05-13 04:50:53
13243,2025,CHN.1,22199,68927,10,1,6,6,2,0,0,1,0,1,2,0,0,0,19,2025-05-13 04:50:55
13243,2025,CHN.1,8225,82388,5,3,6,3,0,0,0,0,0,0,2,0,0,0,2,2025-05-13 04:50:52
13243,2025,CHN.1,21355,82922,10,7,14,5,1,0,0,0,0,4,17,1,0,0,2,2025-05-13 04:50:52
13243,2025,CHN.1,2052,97134,5,2,3,3,0,0,0,0,0,1,1,1,0,0,2,2025-05-13 04:50:52
13243,2025,CHN.1,7521,97193,10,0,1,0,0,1,0,0,0,0,0,0,0,21,18,2025-05-13 04:50:54
13243,2025,CHN.1,8225,102040,12,0,9,3,3,0,0,0,0,0,9,0,0,0,23,2025-05-13 04:50:52
13243,2025,CHN.1,22198,102583,9,1,9,11,2,0,0,0,0,0,1,0,0,0,16,2025-05-13 04:50:54
13243,2025,CHN.1,18203,112373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:57
13243,2025,CHN.1,18203,117009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:57
13243,2025,CHN.1,22537,117011,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:53
13243,2025,CHN.1,22536,132836,3,2,0,4,0,0,0,0,0,0,0,0,0,0,3,2025-05-13 04:50:57
13243,2025,CHN.1,22198,134363,10,9,7,4,2,0,0,0,0,1,7,1,0,0,7,2025-05-13 04:50:54
13243,2025,CHN.1,7521,134821,5,0,4,2,1,0,0,0,0,0,5,0,0,0,6,2025-05-13 04:50:54
13243,2025,CHN.1,977,135509,7,7,2,3,0,0,0,1,0,2,4,2,0,0,1,2025-05-13 04:50:55
13243,2025,CHN.1,15515,140009,9,2,6,19,0,0,0,1,0,7,15,2,0,0,7,2025-05-13 04:50:55
13243,2025,CHN.1,18203,143825,4,2,1,3,0,0,0,1,0,0,0,0,0,0,6,2025-05-13 04:50:57
13243,2025,CHN.1,22537,144324,7,0,9,0,0,0,0,1,0,2,8,1,0,0,5,2025-05-13 04:50:53
13243,2025,CHN.1,22536,144889,9,2,9,3,1,0,0,2,0,2,10,2,0,0,10,2025-05-13 04:50:57
13243,2025,CHN.1,15515,145481,5,4,6,2,2,0,0,0,0,1,2,0,0,0,1,2025-05-13 04:50:55
13243,2025,CHN.1,22198,145482,10,5,8,4,0,0,0,0,0,0,0,0,0,0,9,2025-05-13 04:50:54
13243,2025,CHN.1,2052,145483,8,0,10,9,2,0,0,0,0,1,1,0,0,0,8,2025-05-13 04:50:52
13243,2025,CHN.1,22536,146433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:57
13243,2025,CHN.1,2052,146451,6,1,0,0,1,0,0,0,0,0,0,0,0,10,6,2025-05-13 04:50:52
13243,2025,CHN.1,977,150127,11,1,13,10,1,0,0,0,0,1,11,0,0,0,9,2025-05-13 04:50:55
13243,2025,CHN.1,22536,150317,10,1,4,2,1,1,0,0,0,0,1,0,0,0,15,2025-05-13 04:50:57
13243,2025,CHN.1,8225,151457,12,3,24,21,1,0,0,2,0,13,31,2,0,0,17,2025-05-13 04:50:52
13243,2025,CHN.1,18203,152424,8,3,5,9,2,0,0,1,0,5,8,4,0,0,9,2025-05-13 04:50:57
13243,2025,CHN.1,21910,155123,12,1,5,22,1,0,0,0,0,11,30,6,0,0,13,2025-05-13 04:50:54
13243,2025,CHN.1,7521,156702,4,0,4,1,1,0,0,0,0,0,2,0,0,0,3,2025-05-13 04:50:54
13243,2025,CHN.1,15515,156780,10,1,15,9,5,0,0,0,0,3,6,0,0,0,11,2025-05-13 04:50:55
13243,2025,CHN.1,8225,156916,12,0,12,15,1,0,0,1,0,8,13,5,0,0,21,2025-05-13 04:50:52
13243,2025,CHN.1,8240,157638,9,3,6,6,0,0,0,1,0,0,3,0,0,0,8,2025-05-13 04:50:53
13243,2025,CHN.1,21910,158038,6,1,7,8,3,0,0,0,0,0,2,0,0,0,6,2025-05-13 04:50:54
13243,2025,CHN.1,18203,159530,6,5,2,8,0,0,0,1,0,3,12,1,0,0,4,2025-05-13 04:50:57
13243,2025,CHN.1,18203,164130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:57
