seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13203,2025,COL.1,5485,24324,14,4,18,14,3,0,0,1,2,2,7,1,0,1,7,2025-05-13 04:49:21
13203,2025,COL.1,5489,28611,13,4,11,10,2,0,0,2,4,2,6,1,0,0,9,2025-05-13 04:49:20
13203,2025,COL.1,7915,31512,17,1,16,11,3,0,0,0,1,7,37,2,0,6,21,2025-05-13 04:49:23
13203,2025,COL.1,5489,41652,16,1,3,20,0,0,0,4,2,9,17,2,0,4,14,2025-05-13 04:49:20
13203,2025,COL.1,2672,48106,8,6,1,3,2,0,0,0,0,0,2,0,0,2,2,2025-05-13 04:49:20
13203,2025,COL.1,9762,54246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:25
13203,2025,COL.1,5488,66822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:23
13203,2025,COL.1,6137,70098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:49:20
13203,2025,COL.1,6137,70714,8,4,3,5,0,0,0,0,2,0,4,0,0,0,5,2025-05-13 04:49:20
13203,2025,COL.1,5264,70721,9,2,11,9,1,0,0,3,1,7,17,3,0,0,4,2025-05-13 04:49:19
13203,2025,COL.1,2919,70974,18,2,4,9,3,0,0,1,6,19,43,9,0,0,18,2025-05-13 04:49:24
13203,2025,COL.1,6137,73101,5,2,0,2,1,0,0,0,0,0,1,0,0,4,6,2025-05-13 04:49:20
13203,2025,COL.1,5485,75703,11,0,10,4,5,0,0,0,1,0,2,0,0,4,7,2025-05-13 04:49:21
13203,2025,COL.1,5486,76584,13,2,4,15,2,1,0,3,3,9,22,3,0,0,9,2025-05-13 04:49:21
13203,2025,COL.1,5488,77267,6,0,11,4,3,0,0,0,0,0,0,0,0,2,4,2025-05-13 04:49:23
13203,2025,COL.1,7915,77283,12,0,1,3,1,1,0,0,0,1,8,0,0,8,14,2025-05-13 04:49:23
13203,2025,COL.1,5484,87706,4,1,2,5,0,0,0,0,0,4,5,1,0,0,5,2025-05-13 04:49:24
13203,2025,COL.1,5480,92848,10,1,5,4,3,0,0,0,2,2,2,0,0,9,14,2025-05-13 04:49:19
13203,2025,COL.1,4815,98576,12,8,3,11,2,0,0,2,1,3,5,1,0,0,3,2025-05-13 04:49:18
13203,2025,COL.1,5489,98970,15,11,8,6,0,0,0,0,0,1,7,1,0,0,3,2025-05-13 04:49:20
13203,2025,COL.1,9762,104284,13,4,7,14,2,0,0,0,2,6,15,4,0,1,7,2025-05-13 04:49:25
13203,2025,COL.1,5484,106650,3,2,2,0,0,0,0,0,0,1,1,1,0,0,1,2025-05-13 04:49:24
13203,2025,COL.1,2919,106782,9,7,11,1,2,1,0,0,0,1,2,0,0,3,4,2025-05-13 04:49:24
13203,2025,COL.1,9761,109940,16,7,10,7,1,0,0,0,1,11,19,5,0,0,11,2025-05-13 04:49:18
13203,2025,COL.1,7445,111650,14,8,9,9,2,0,0,0,3,5,16,2,0,0,13,2025-05-13 04:49:23
13203,2025,COL.1,8109,113126,3,1,3,1,0,0,0,0,0,0,1,0,0,1,0,2025-05-13 04:49:18
13203,2025,COL.1,5481,115397,3,0,0,2,0,0,0,0,1,3,10,0,0,0,2,2025-05-13 04:49:21
13203,2025,COL.1,5484,115480,17,1,19,3,5,0,0,2,5,0,10,0,0,1,10,2025-05-13 04:49:24
13203,2025,COL.1,4928,115717,6,6,1,0,0,0,0,0,1,4,11,0,0,1,4,2025-05-13 04:49:22
13203,2025,COL.1,6137,117451,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2025-05-13 04:49:20
13203,2025,COL.1,5485,120800,5,0,7,4,3,0,0,0,1,0,0,0,0,1,4,2025-05-13 04:49:21
