seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13214,2025,ECU.1,882,24110,4,1,4,4,0,0,0,1,0,0,2,0,0,0,7,2025-05-13 04:50:41
13214,2025,ECU.1,882,32687,9,5,8,2,0,0,0,2,0,5,13,0,0,0,9,2025-05-13 04:50:41
13214,2025,ECU.1,882,34150,2,1,0,2,0,0,0,0,0,2,3,0,0,0,1,2025-05-13 04:50:41
13214,2025,ECU.1,20695,68426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:45
13214,2025,ECU.1,18439,70683,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:44
13214,2025,ECU.1,2686,74966,5,0,5,6,0,0,0,0,0,0,2,0,0,0,5,2025-05-13 04:50:40
13214,2025,ECU.1,1011,75703,6,0,1,6,1,0,0,0,0,1,2,0,0,0,7,2025-05-13 04:50:40
13214,2025,ECU.1,17086,77319,5,1,7,1,0,0,0,0,0,1,2,0,0,0,4,2025-05-13 04:50:42
13214,2025,ECU.1,18439,77969,10,2,6,7,0,0,0,0,0,7,27,0,0,0,6,2025-05-13 04:50:44
13214,2025,ECU.1,9292,78158,6,3,7,5,2,0,0,0,0,1,5,0,0,0,4,2025-05-13 04:50:45
13214,2025,ECU.1,4816,82355,9,2,17,12,0,0,0,1,0,2,4,1,0,0,2,2025-05-13 04:50:43
13214,2025,ECU.1,2668,82650,9,6,8,4,3,0,0,0,0,0,5,0,0,0,7,2025-05-13 04:50:41
13214,2025,ECU.1,20695,83910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:45
13214,2025,ECU.1,4816,95614,10,0,0,2,0,0,0,0,0,0,0,0,0,24,7,2025-05-13 04:50:43
13214,2025,ECU.1,20695,95831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:45
13214,2025,ECU.1,20695,96165,10,0,11,8,2,0,0,0,0,2,4,1,0,0,11,2025-05-13 04:50:45
13214,2025,ECU.1,9292,96862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:45
13214,2025,ECU.1,2686,98025,3,1,1,5,0,0,0,0,0,3,6,2,0,0,3,2025-05-13 04:50:40
13214,2025,ECU.1,1011,99003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:40
13214,2025,ECU.1,10307,103472,9,2,10,5,1,0,0,0,0,0,2,0,0,0,15,2025-05-13 04:50:44
13214,2025,ECU.1,2686,104504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:40
13214,2025,ECU.1,882,104678,5,2,6,5,1,0,0,0,0,5,5,0,0,0,6,2025-05-13 04:50:41
13214,2025,ECU.1,2668,105756,10,0,0,3,2,0,0,0,0,0,0,0,0,34,8,2025-05-13 04:50:41
13214,2025,ECU.1,17176,107405,12,5,18,12,1,0,0,1,0,6,20,1,0,0,11,2025-05-13 04:50:45
13214,2025,ECU.1,10307,111978,6,5,7,6,1,0,0,0,0,2,5,0,0,0,1,2025-05-13 04:50:44
13214,2025,ECU.1,10307,116167,5,0,2,0,0,0,0,0,0,0,1,0,0,0,7,2025-05-13 04:50:44
13214,2025,ECU.1,1011,126097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:40
13214,2025,ECU.1,9283,127069,10,3,3,16,2,0,0,4,0,3,9,2,0,0,8,2025-05-13 04:50:46
13214,2025,ECU.1,9292,127277,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:50:45
13214,2025,ECU.1,6017,129536,4,2,3,2,1,0,0,0,0,3,6,1,0,0,2,2025-05-13 04:50:40
13214,2025,ECU.1,17176,130428,4,3,1,3,1,0,0,0,0,2,4,1,0,0,2,2025-05-13 04:50:45
13214,2025,ECU.1,882,130615,4,3,0,1,0,0,0,0,0,0,1,0,0,0,1,2025-05-13 04:50:41
13214,2025,ECU.1,4816,131726,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2025-05-13 04:50:43
13214,2025,ECU.1,17086,135298,6,3,1,3,0,0,0,0,0,2,4,0,0,0,3,2025-05-13 04:50:42
13214,2025,ECU.1,9283,136944,3,0,1,0,0,0,0,0,0,0,0,0,0,12,3,2025-05-13 04:50:46
13214,2025,ECU.1,20695,137516,7,4,3,0,0,0,0,0,0,0,3,0,0,0,10,2025-05-13 04:50:45
13214,2025,ECU.1,21843,140050,5,4,4,0,1,1,0,1,0,3,7,1,0,0,2,2025-05-13 04:50:42
13214,2025,ECU.1,17086,140722,8,6,0,2,1,0,0,2,0,2,5,1,0,0,3,2025-05-13 04:50:42
13214,2025,ECU.1,17086,143288,10,2,7,12,1,0,0,0,0,15,28,7,0,0,4,2025-05-13 04:50:42
13214,2025,ECU.1,6017,144645,8,0,1,3,0,0,0,1,0,6,20,4,0,0,7,2025-05-13 04:50:40
13214,2025,ECU.1,2686,144821,11,3,13,5,2,0,0,0,0,1,2,0,0,0,12,2025-05-13 04:50:40
13214,2025,ECU.1,2686,144862,8,0,9,12,3,0,0,0,0,0,3,0,0,0,5,2025-05-13 04:50:40
13214,2025,ECU.1,17176,144874,11,2,0,11,0,0,0,1,0,18,35,3,0,0,11,2025-05-13 04:50:45
13214,2025,ECU.1,882,144900,10,4,13,12,3,0,0,0,0,5,12,1,0,0,11,2025-05-13 04:50:41
13214,2025,ECU.1,882,145626,8,1,9,9,2,0,0,0,0,0,9,0,0,0,12,2025-05-13 04:50:41
13214,2025,ECU.1,22535,146352,11,4,5,13,3,0,1,0,0,1,6,0,0,0,8,2025-05-13 04:50:46
13214,2025,ECU.1,2686,149029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:40
13214,2025,ECU.1,20695,150074,12,1,9,8,1,0,0,0,0,1,7,0,0,0,15,2025-05-13 04:50:45
13214,2025,ECU.1,9283,153640,7,2,1,1,1,0,0,0,0,1,3,0,0,0,6,2025-05-13 04:50:46
13214,2025,ECU.1,2668,154336,11,0,7,16,0,1,0,0,0,3,9,0,0,0,13,2025-05-13 04:50:41
13214,2025,ECU.1,4812,154343,12,0,7,16,1,0,0,1,0,9,18,4,0,0,8,2025-05-13 04:50:41
13214,2025,ECU.1,22535,155673,10,1,7,11,2,0,0,0,0,6,14,3,0,0,8,2025-05-13 04:50:46
13214,2025,ECU.1,4812,155980,7,0,9,9,2,0,0,0,0,4,12,0,0,0,3,2025-05-13 04:50:41
13214,2025,ECU.1,1011,156141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:40
13214,2025,ECU.1,4812,157954,12,0,13,8,1,0,0,0,0,1,6,0,0,0,12,2025-05-13 04:50:41
13214,2025,ECU.1,1011,158456,4,1,1,1,0,0,0,0,0,2,3,0,0,0,6,2025-05-13 04:50:40
13214,2025,ECU.1,18439,159156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:50:44
13214,2025,ECU.1,2686,159158,11,3,3,10,1,0,0,2,0,9,20,5,0,0,10,2025-05-13 04:50:40
13214,2025,ECU.1,17086,159164,6,3,2,4,1,0,0,2,0,1,5,0,0,0,2,2025-05-13 04:50:42
13214,2025,ECU.1,9283,159165,12,0,14,3,5,0,0,1,0,1,6,0,0,0,14,2025-05-13 04:50:46
13214,2025,ECU.1,6017,161027,11,4,6,5,0,0,0,0,0,2,3,0,0,0,8,2025-05-13 04:50:40
