seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12654,2024,ENG.1,368,4946,11,2,8,0,5,0,0,0,4,2,7,2,0,7,19,2025-05-09 04:50:35
12654,2024,ENG.1,367,6327,14,2,14,6,4,0,0,0,3,1,5,0,0,17,17,2025-05-09 04:50:39
12654,2024,ENG.1,349,7441,5,0,0,1,0,0,0,0,0,0,0,0,77,20,5,2025-01-30 14:42:57
12654,2024,ENG.1,373,9426,22,8,26,6,4,1,0,2,1,3,6,1,0,5,38,2025-05-09 04:50:36
12654,2024,ENG.1,331,17828,11,3,5,2,0,0,0,0,1,1,1,0,0,9,8,2025-05-09 04:50:34
12654,2024,ENG.1,375,17861,2,1,0,0,0,0,0,0,0,0,0,0,5,4,6,2025-05-09 04:50:36
12654,2024,ENG.1,331,20975,12,10,3,7,0,0,0,0,0,10,19,0,0,0,4,2025-01-23 05:30:56
12654,2024,ENG.1,373,20975,23,11,10,23,3,0,0,3,1,20,44,2,0,0,18,2025-05-09 04:50:36
12654,2024,ENG.1,331,26843,3,0,3,1,1,0,0,0,0,0,2,0,0,2,1,2025-05-09 04:50:34
12654,2024,ENG.1,393,30377,15,4,12,6,2,0,0,1,5,0,5,0,0,5,16,2025-05-09 04:50:38
12654,2024,ENG.1,368,31810,29,12,24,18,6,1,0,3,5,1,5,1,0,3,22,2025-05-09 04:50:35
12654,2024,ENG.1,382,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-09 04:50:37
12654,2024,ENG.1,301,41311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,360,42250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-09 04:50:37
12654,2024,ENG.1,361,42359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-09 04:50:38
12654,2024,ENG.1,380,43575,28,5,17,11,6,0,1,1,4,4,11,2,0,15,33,2025-05-09 04:50:39
12654,2024,ENG.1,398,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:24
12654,2024,ENG.1,361,48128,9,8,1,3,0,0,0,0,1,2,5,0,0,0,3,2025-01-31 14:42:48
12654,2024,ENG.1,349,72487,26,18,8,15,3,0,0,0,0,10,22,2,0,2,11,2025-05-09 04:50:33
12654,2024,ENG.1,371,77403,13,1,2,1,2,0,0,0,1,0,0,0,171,47,20,2025-05-09 04:50:39
12654,2024,ENG.1,380,78836,10,9,2,1,2,0,0,0,0,0,3,0,0,0,9,2025-05-09 04:50:39
12654,2024,ENG.1,360,83176,6,3,5,6,1,0,0,0,0,0,1,0,0,1,2,2025-05-09 04:50:37
12654,2024,ENG.1,393,83526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-09 04:50:38
12654,2024,ENG.1,301,85285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,376,85472,14,9,7,8,4,0,0,2,1,0,3,0,0,2,8,2025-05-09 04:50:38
12654,2024,ENG.1,359,88274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-09 04:50:33
12654,2024,ENG.1,379,91481,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 02:49:22
12654,2024,ENG.1,398,92884,8,5,3,3,1,0,0,0,0,0,2,0,0,4,6,2024-07-13 02:49:24
12654,2024,ENG.1,368,92885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-09 04:50:35
12654,2024,ENG.1,367,93193,7,0,0,0,0,0,0,0,1,0,0,0,87,29,15,2025-05-09 04:50:39
