seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13079,2025,FIFA.WORLDQ.UEFA,578,6327,2,0,2,1,0,0,0,1,0,1,1,1,0,0,2,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,578,17861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,587,22773,2,2,4,2,1,0,0,0,0,0,0,0,0,0,1,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,587,24278,2,0,0,0,0,0,0,0,0,0,0,0,17,5,4,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,587,26150,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,587,35915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,578,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,578,68601,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,578,72487,2,1,0,1,0,0,0,0,0,1,2,1,0,1,2,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,452,79941,2,0,0,0,1,0,0,0,0,0,0,0,25,6,1,2025-04-24 11:57:31
13079,2025,FIFA.WORLDQ.UEFA,578,93736,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,578,97867,2,1,2,2,1,0,0,0,0,3,6,0,0,0,1,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,587,100718,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,452,102337,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:31
13079,2025,FIFA.WORLDQ.UEFA,588,111851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:45
13079,2025,FIFA.WORLDQ.UEFA,16721,119465,2,0,4,4,1,0,0,0,0,1,2,1,0,1,7,2025-04-24 11:57:34
13079,2025,FIFA.WORLDQ.UEFA,6775,119612,2,0,2,3,0,0,0,0,0,3,8,1,0,0,1,2025-04-24 11:57:38
13079,2025,FIFA.WORLDQ.UEFA,445,121738,2,0,0,1,0,0,0,0,0,0,0,0,17,6,2,2025-04-24 11:57:32
13079,2025,FIFA.WORLDQ.UEFA,471,125824,2,1,0,1,0,0,0,0,0,1,6,1,0,0,0,2025-04-24 11:57:44
13079,2025,FIFA.WORLDQ.UEFA,448,127262,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:32
13079,2025,FIFA.WORLDQ.UEFA,458,127520,2,2,1,0,0,0,0,0,0,0,3,0,0,0,0,2025-04-24 11:57:33
13079,2025,FIFA.WORLDQ.UEFA,453,127749,2,0,0,1,0,0,0,0,0,0,0,0,34,14,3,2025-04-24 11:57:38
13079,2025,FIFA.WORLDQ.UEFA,464,129285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 11:57:44
13079,2025,FIFA.WORLDQ.UEFA,448,129358,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:32
13079,2025,FIFA.WORLDQ.UEFA,453,130363,2,1,2,0,0,0,0,0,0,0,0,0,0,2,2,2025-04-24 11:57:38
13079,2025,FIFA.WORLDQ.UEFA,578,130877,2,0,0,0,0,0,0,0,0,0,0,0,9,2,2,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,458,134169,2,0,0,0,0,0,0,0,0,0,0,0,29,10,2,2025-04-24 11:57:33
13079,2025,FIFA.WORLDQ.UEFA,473,136796,2,2,0,0,0,0,0,0,0,1,2,1,0,0,0,2025-04-24 11:57:45
13079,2025,FIFA.WORLDQ.UEFA,458,136911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:33
13079,2025,FIFA.WORLDQ.UEFA,447,139659,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2025-04-24 11:57:33
13079,2025,FIFA.WORLDQ.UEFA,589,141749,2,0,1,1,0,0,0,0,0,1,2,0,0,1,4,2025-04-24 11:57:37
13079,2025,FIFA.WORLDQ.UEFA,448,142200,2,0,0,1,0,0,0,0,0,4,9,2,0,1,0,2025-04-24 11:57:32
13079,2025,FIFA.WORLDQ.UEFA,587,147593,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,587,147594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:29
13079,2025,FIFA.WORLDQ.UEFA,589,150934,2,0,0,0,0,0,0,0,0,0,0,0,12,8,5,2025-04-24 11:57:37
13079,2025,FIFA.WORLDQ.UEFA,450,151714,2,0,1,1,0,0,0,0,1,0,1,0,0,1,1,2025-04-24 11:57:32
13079,2025,FIFA.WORLDQ.UEFA,589,152059,2,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2025-04-24 11:57:37
13079,2025,FIFA.WORLDQ.UEFA,2619,152933,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2025-04-24 11:57:36
13079,2025,FIFA.WORLDQ.UEFA,452,153319,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:31
13079,2025,FIFA.WORLDQ.UEFA,585,158023,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-04-24 11:57:28
13079,2025,FIFA.WORLDQ.UEFA,585,158151,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-04-24 11:57:28
13079,2025,FIFA.WORLDQ.UEFA,447,158338,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2025-04-24 11:57:33
13079,2025,FIFA.WORLDQ.UEFA,453,158376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:38
13079,2025,FIFA.WORLDQ.UEFA,444,159008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 11:57:33
13079,2025,FIFA.WORLDQ.UEFA,448,159443,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2025-04-24 11:57:32
