seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12747,2024,GER.1,137,3368,15,11,4,9,1,0,0,2,4,9,21,2,0,2,18,2025-05-10 04:49:26
12747,2024,GER.1,11420,3368,8,8,0,2,0,0,0,2,1,3,8,1,0,0,6,2025-02-03 14:48:10
12747,2024,GER.1,3841,47969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:23
12747,2024,GER.1,270,79941,32,0,1,1,1,1,0,0,3,0,0,0,312,90,36,2025-05-10 04:49:25
12747,2024,GER.1,132,84774,20,0,0,1,0,0,0,0,1,0,0,0,118,24,15,2025-05-10 04:49:22
12747,2024,GER.1,122,89497,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:34
12747,2024,GER.1,132,97111,6,3,2,3,1,0,0,0,0,1,1,1,0,2,5,2025-05-10 04:49:22
12747,2024,GER.1,132,113733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:22
12747,2024,GER.1,6418,117279,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-05-10 04:49:21
12747,2024,GER.1,11420,119620,28,0,0,1,0,0,0,0,3,0,0,0,357,91,36,2025-05-10 04:49:24
12747,2024,GER.1,125,120829,24,4,11,21,1,0,0,6,7,5,14,3,0,0,22,2025-05-10 04:49:23
12747,2024,GER.1,268,122273,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2025-05-10 04:49:23
12747,2024,GER.1,125,122280,24,0,0,1,0,0,0,0,4,0,0,0,285,82,30,2025-05-10 04:49:23
12747,2024,GER.1,7884,122289,23,11,11,21,1,1,0,2,3,0,6,0,0,2,38,2025-05-10 04:49:23
12747,2024,GER.1,126,122292,9,1,0,1,0,0,0,0,2,0,0,0,75,15,15,2025-05-10 04:49:24
12747,2024,GER.1,125,122396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:23
12747,2024,GER.1,132,123465,28,18,13,12,3,0,0,4,3,8,24,1,0,0,17,2025-05-10 04:49:22
12747,2024,GER.1,125,128521,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-05-10 04:49:23
12747,2024,GER.1,124,132659,29,2,15,12,4,1,0,9,6,5,26,0,0,12,34,2025-05-10 04:49:22
12747,2024,GER.1,598,132973,17,2,9,6,6,0,0,0,2,1,1,1,0,8,17,2025-05-10 04:49:21
12747,2024,GER.1,2950,134103,31,2,20,38,4,0,0,5,8,12,40,7,0,3,35,2025-05-10 04:49:24
12747,2024,GER.1,131,134169,27,0,0,1,1,0,0,0,3,0,0,0,235,80,29,2025-05-10 04:49:21
12747,2024,GER.1,3812,136593,9,5,7,10,0,0,0,1,2,3,10,0,0,1,11,2024-07-13 02:49:39
12747,2024,GER.1,7911,138213,26,0,0,5,1,0,0,0,3,0,0,0,328,86,46,2025-05-10 04:49:25
12747,2024,GER.1,7911,139520,30,0,10,26,3,0,0,8,8,23,64,11,0,3,52,2025-05-10 04:49:25
12747,2024,GER.1,3841,140624,31,0,20,12,9,0,0,4,5,3,14,1,0,15,38,2025-05-10 04:49:23
12747,2024,GER.1,11420,141055,25,8,19,7,5,0,0,0,7,2,6,1,0,6,26,2025-05-10 04:49:24
12747,2024,GER.1,3812,141327,24,9,14,11,1,0,0,2,3,4,21,3,0,4,33,2024-07-13 02:49:39
