seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12673,2024,NED.1,5291,4804,23,5,12,7,0,0,1,1,0,1,9,0,0,11,34,2025-05-10 04:49:44
12673,2024,NED.1,2727,67334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,151,69579,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:49
12673,2024,NED.1,139,78836,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 04:53:11
12673,2024,NED.1,153,83494,20,7,14,31,5,0,0,3,0,16,48,7,0,0,13,2025-05-10 04:49:45
12673,2024,NED.1,139,83802,21,0,0,2,0,0,1,1,2,1,1,0,208,58,17,2025-05-10 04:49:44
12673,2024,NED.1,2727,84843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,148,103485,24,6,14,6,3,0,0,7,2,14,32,7,0,2,27,2025-05-10 04:49:48
12673,2024,NED.1,155,105351,19,13,10,7,3,1,0,0,1,7,15,2,0,2,18,2025-05-10 04:49:49
12673,2024,NED.1,2727,121850,23,0,11,15,3,0,0,2,6,0,8,0,0,13,54,2024-07-13 02:53:19
12673,2024,NED.1,156,122636,27,15,46,24,6,1,0,1,0,9,27,2,0,2,22,2025-05-10 04:49:49
12673,2024,NED.1,147,122954,12,5,12,4,3,0,0,0,2,7,21,2,0,1,11,2025-05-10 04:49:48
12673,2024,NED.1,152,124932,23,10,35,18,3,0,0,1,2,17,30,6,0,6,21,2025-05-10 04:49:45
12673,2024,NED.1,152,125136,2,0,0,0,0,0,0,0,0,0,0,0,23,8,8,2025-05-10 04:49:45
12673,2024,NED.1,147,125165,15,13,4,3,1,1,0,0,0,1,2,0,0,3,6,2025-05-10 04:49:48
12673,2024,NED.1,155,125279,16,7,5,9,1,1,0,0,1,0,2,0,0,4,24,2025-05-10 04:49:49
12673,2024,NED.1,3708,126248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:47
12673,2024,NED.1,2565,127053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:48
12673,2024,NED.1,139,127262,25,7,11,5,5,0,0,4,9,1,9,0,0,7,17,2025-05-10 04:49:44
12673,2024,NED.1,148,127420,28,2,10,18,3,0,0,6,1,24,83,13,0,4,28,2025-05-10 04:49:48
12673,2024,NED.1,154,127444,34,0,1,2,1,0,0,0,4,0,0,0,449,151,73,2024-07-13 02:53:13
12673,2024,NED.1,142,129285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:50
12673,2024,NED.1,140,130177,6,0,0,0,0,0,0,0,0,0,0,0,46,10,2,2025-05-10 04:49:43
12673,2024,NED.1,153,131354,30,0,17,11,2,1,0,1,1,7,14,3,0,30,40,2025-05-10 04:49:45
12673,2024,NED.1,143,132666,28,1,17,10,3,0,0,2,2,0,3,0,0,6,40,2025-05-10 04:49:46
12673,2024,NED.1,2565,134515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-24 04:48:32
12673,2024,NED.1,154,137087,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,2024-07-13 02:53:13
12673,2024,NED.1,141,137780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:47
12673,2024,NED.1,145,138664,28,6,18,8,7,0,1,3,2,10,33,4,0,8,32,2025-05-10 04:49:45
12673,2024,NED.1,151,138746,19,0,14,4,4,0,0,0,1,0,17,0,0,5,19,2025-05-10 04:49:49
12673,2024,NED.1,155,139579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-10 04:49:49
12673,2024,NED.1,147,140350,26,6,14,9,4,0,0,0,0,5,13,1,0,15,27,2025-05-10 04:49:48
12673,2024,NED.1,153,142517,28,12,11,6,0,0,1,5,1,8,26,1,0,1,18,2025-05-10 04:49:45
12673,2024,NED.1,154,146519,30,7,27,24,2,1,0,2,4,15,57,7,0,5,43,2024-07-13 02:53:13
12673,2024,NED.1,154,147064,27,3,27,13,2,1,0,1,4,2,6,1,0,19,58,2024-07-13 02:53:13
12673,2024,NED.1,152,148868,29,0,0,1,0,0,0,0,0,0,0,0,261,61,36,2025-05-10 04:49:45
12673,2024,NED.1,140,149301,10,4,8,6,1,0,0,0,2,0,3,0,0,1,10,2025-05-10 04:49:43
12673,2024,NED.1,139,149577,23,9,8,9,1,0,0,4,2,8,30,2,0,1,11,2025-05-10 04:49:44
12673,2024,NED.1,142,149904,16,3,21,8,5,0,0,0,0,1,10,0,0,14,17,2025-05-10 04:49:45
