seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13135,2025,USA.1,21300,5289,11,0,20,28,2,0,0,0,0,9,22,2,0,1,11,2025-05-13 04:46:13
13135,2025,USA.1,21300,6746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:13
13135,2025,USA.1,21300,7567,12,0,12,14,2,0,0,1,3,1,4,1,0,6,14,2025-05-13 04:46:13
13135,2025,USA.1,6077,17478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:15
13135,2025,USA.1,9723,29447,7,4,1,5,1,0,0,0,1,0,0,0,0,2,5,2025-05-13 04:46:19
13135,2025,USA.1,18267,42583,9,3,4,3,1,1,0,0,3,0,2,0,0,12,7,2025-05-13 04:46:14
13135,2025,USA.1,18966,43372,11,0,1,0,0,0,0,0,2,0,0,0,111,21,12,2025-05-13 04:46:16
13135,2025,USA.1,20232,45843,8,1,3,13,1,0,0,2,5,15,36,5,0,0,9,2025-05-13 04:46:16
13135,2025,USA.1,18418,48128,11,0,13,18,1,0,0,2,3,10,31,3,0,0,20,2025-05-13 04:46:12
13135,2025,USA.1,18418,56935,12,0,0,2,1,0,0,0,0,0,0,0,118,44,22,2025-05-13 04:46:12
13135,2025,USA.1,6077,65434,4,0,0,2,0,0,0,0,0,0,0,0,47,12,7,2025-05-13 04:46:15
13135,2025,USA.1,184,66579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-07 04:51:53
13135,2025,USA.1,21812,67671,6,4,2,0,0,0,0,0,0,0,1,0,0,2,4,2025-05-13 04:46:21
13135,2025,USA.1,17606,70624,12,0,11,24,1,0,0,1,2,1,11,0,0,0,10,2025-05-13 04:46:18
13135,2025,USA.1,9723,71042,9,3,18,6,2,0,0,0,0,0,2,0,0,5,13,2025-05-13 04:46:19
13135,2025,USA.1,191,73200,12,0,20,10,2,0,0,6,3,7,20,4,0,0,20,2025-05-13 04:46:20
13135,2025,USA.1,4771,82716,5,3,4,1,0,0,0,0,0,0,2,0,0,1,6,2025-05-13 04:46:19
13135,2025,USA.1,18267,86436,10,1,15,15,2,0,0,2,4,16,34,7,0,2,12,2025-05-13 04:46:14
13135,2025,USA.1,9720,87387,9,1,8,6,2,0,0,0,1,0,0,0,0,0,9,2025-05-13 04:46:12
13135,2025,USA.1,18966,88965,7,2,3,7,0,0,0,0,3,4,9,1,0,1,10,2025-05-13 04:46:16
13135,2025,USA.1,18986,96526,8,7,3,2,1,0,0,0,1,3,5,1,0,1,1,2025-05-13 04:46:17
13135,2025,USA.1,4771,100525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:19
13135,2025,USA.1,17362,101934,10,0,9,4,3,0,0,2,0,0,0,0,0,4,8,2025-05-13 04:46:17
13135,2025,USA.1,190,102254,12,0,10,15,2,0,0,1,2,12,17,6,0,1,13,2025-05-13 04:46:18
13135,2025,USA.1,20232,102985,8,0,1,4,0,1,0,0,1,0,0,0,82,23,8,2025-05-13 04:46:16
13135,2025,USA.1,187,105803,9,1,6,4,1,0,1,0,0,1,6,0,0,7,18,2025-05-13 04:46:16
13135,2025,USA.1,6077,105957,11,7,8,14,0,0,0,0,3,2,4,1,0,1,8,2025-05-13 04:46:15
13135,2025,USA.1,193,106957,11,0,15,12,3,0,0,1,0,22,45,6,0,1,20,2025-05-13 04:46:14
13135,2025,USA.1,187,111177,8,1,7,0,1,1,0,1,0,0,2,0,0,7,14,2025-05-13 04:46:16
13135,2025,USA.1,18966,115713,11,4,14,4,4,0,0,0,1,10,19,3,0,0,10,2025-05-13 04:46:16
13135,2025,USA.1,22529,116825,11,1,14,18,2,0,0,2,2,2,5,1,0,1,11,2025-05-13 04:46:20
13135,2025,USA.1,20232,121021,10,1,6,9,3,0,0,4,3,0,5,0,0,4,10,2025-05-13 04:46:16
13135,2025,USA.1,20232,121893,10,0,10,23,1,0,0,1,1,0,0,0,0,3,9,2025-05-13 04:46:16
13135,2025,USA.1,187,122356,7,3,0,4,0,0,0,1,2,4,12,1,0,1,11,2025-05-13 04:46:16
13135,2025,USA.1,20232,125088,9,0,10,15,3,0,0,7,1,3,16,2,0,0,6,2025-05-13 04:46:16
13135,2025,USA.1,18966,127512,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025-05-13 04:46:16
13135,2025,USA.1,12011,128253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:18
13135,2025,USA.1,9723,129395,4,4,1,3,2,0,0,1,2,2,4,1,0,0,2,2025-05-13 04:46:19
13135,2025,USA.1,9726,131979,11,0,0,2,0,0,0,0,0,0,0,0,111,26,10,2025-05-13 04:46:20
13135,2025,USA.1,182,132237,4,4,0,0,0,0,0,0,0,0,1,0,0,0,3,2025-05-13 04:46:13
13135,2025,USA.1,187,133963,11,2,9,9,4,0,0,0,1,2,5,1,0,2,21,2025-05-13 04:46:16
13135,2025,USA.1,10739,134066,6,6,3,0,0,0,0,1,0,0,0,0,0,0,1,2025-05-13 04:46:19
13135,2025,USA.1,4771,134307,12,0,1,3,1,0,0,0,0,0,0,0,137,36,18,2025-05-13 04:46:19
13135,2025,USA.1,18418,138636,10,4,10,10,2,0,0,0,0,1,2,0,0,2,10,2025-05-13 04:46:12
13135,2025,USA.1,7318,139028,8,2,0,8,1,0,0,2,1,3,11,1,0,1,3,2025-05-13 04:46:21
13135,2025,USA.1,7318,140531,9,0,10,9,2,0,0,0,2,0,1,0,0,3,13,2025-05-13 04:46:21
13135,2025,USA.1,7318,141316,12,0,0,1,1,0,0,0,1,0,0,0,141,43,16,2025-05-13 04:46:21
13135,2025,USA.1,18986,146067,7,7,0,4,0,0,0,0,0,1,5,0,0,0,1,2025-05-13 04:46:17
13135,2025,USA.1,21300,146290,11,1,6,1,0,0,0,0,2,0,0,0,0,7,13,2025-05-13 04:46:13
13135,2025,USA.1,21300,146324,10,0,16,36,1,0,0,0,1,11,20,3,0,0,12,2025-05-13 04:46:13
13135,2025,USA.1,18986,146355,11,1,12,5,1,0,0,4,0,4,10,1,0,2,13,2025-05-13 04:46:17
13135,2025,USA.1,12011,147256,10,0,4,8,2,0,0,0,1,1,1,0,0,8,9,2025-05-13 04:46:18
13135,2025,USA.1,4771,148356,11,0,11,16,3,1,0,2,4,10,21,7,0,1,15,2025-05-13 04:46:19
13135,2025,USA.1,190,148641,12,0,6,18,0,0,0,4,3,6,22,5,0,0,13,2025-05-13 04:46:18
13135,2025,USA.1,182,149994,5,2,1,4,0,0,0,0,1,0,1,0,0,0,3,2025-05-13 04:46:13
13135,2025,USA.1,20906,150185,10,2,5,4,2,0,1,0,0,2,4,0,0,3,6,2025-05-13 04:46:12
13135,2025,USA.1,12011,150334,11,0,0,6,3,0,0,0,0,0,0,0,132,38,14,2025-05-13 04:46:18
13135,2025,USA.1,21812,150409,11,3,13,15,1,0,0,0,1,9,22,1,0,1,7,2025-05-13 04:46:21
13135,2025,USA.1,12011,151510,12,2,12,8,1,0,0,2,1,13,37,4,0,1,10,2025-05-13 04:46:18
13135,2025,USA.1,189,152168,11,0,1,31,0,0,0,2,4,11,27,6,0,0,10,2025-05-13 04:46:17
13135,2025,USA.1,21812,153289,10,5,7,6,2,1,0,0,2,0,2,0,0,2,6,2025-05-13 04:46:21
13135,2025,USA.1,183,156157,11,0,7,23,0,0,0,0,1,1,3,0,0,1,11,2025-05-13 04:46:14
13135,2025,USA.1,187,156187,12,0,8,7,2,0,0,0,0,1,10,1,0,0,21,2025-05-13 04:46:16
13135,2025,USA.1,6077,156197,2,1,0,0,0,0,0,0,0,0,0,0,9,4,1,2025-05-13 04:46:15
13135,2025,USA.1,18986,156217,12,0,0,1,0,0,0,0,1,0,0,0,105,35,15,2025-05-13 04:46:17
13135,2025,USA.1,18986,156228,9,5,10,7,1,0,0,1,1,1,5,0,0,1,9,2025-05-13 04:46:17
13135,2025,USA.1,21300,156506,8,0,3,6,1,0,0,0,2,0,0,0,0,3,7,2025-05-13 04:46:13
13135,2025,USA.1,9723,156564,10,3,7,6,1,0,0,1,2,0,1,0,0,0,11,2025-05-13 04:46:19
13135,2025,USA.1,185,157285,11,0,20,8,5,0,0,0,2,0,1,0,0,2,17,2025-05-13 04:46:15
13135,2025,USA.1,189,158081,8,4,6,6,1,0,0,0,0,5,8,0,0,0,5,2025-05-13 04:46:17
13135,2025,USA.1,18418,158331,9,4,7,3,3,0,0,0,1,0,2,0,0,0,12,2025-05-13 04:46:12
13135,2025,USA.1,18267,159296,8,6,4,4,1,0,1,0,1,2,2,0,0,0,3,2025-05-13 04:46:14
13135,2025,USA.1,9723,159382,3,0,0,0,0,0,0,0,0,0,0,0,39,13,8,2025-05-13 04:46:19
13135,2025,USA.1,21300,159461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:13
13135,2025,USA.1,182,159478,7,2,5,8,1,0,0,0,1,1,1,0,0,0,15,2025-05-13 04:46:13
13135,2025,USA.1,9726,159491,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-13 04:46:20
13135,2025,USA.1,191,160646,2,0,4,4,1,1,0,0,1,1,4,0,0,0,1,2025-05-13 04:46:20
13135,2025,USA.1,182,160971,12,4,11,7,3,0,0,0,1,1,5,0,0,1,11,2025-05-13 04:46:13
13135,2025,USA.1,20906,162946,8,7,4,4,1,0,0,1,2,2,4,0,0,1,3,2025-05-13 04:46:12
13135,2025,USA.1,189,164551,11,0,10,4,2,0,0,0,5,0,2,0,0,10,10,2025-05-13 04:46:17
13135,2025,USA.1,18986,167061,6,1,3,7,1,0,0,0,1,2,4,1,0,2,10,2025-05-13 04:46:17
13135,2025,USA.1,18418,169515,8,1,6,5,0,0,0,0,0,0,4,0,0,2,12,2025-05-13 04:46:12
13135,2025,USA.1,183,171562,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2025-05-13 04:46:14
13135,2025,USA.1,9726,171573,11,3,3,2,0,0,0,3,2,12,28,5,0,0,11,2025-05-13 04:46:20
13135,2025,USA.1,6077,171623,8,5,6,0,2,0,0,0,2,0,1,0,0,3,8,2025-05-13 04:46:15
13135,2025,USA.1,18267,171673,7,0,6,4,1,0,0,0,2,4,11,1,0,1,8,2025-05-13 04:46:14
13135,2025,USA.1,191,172688,9,1,2,1,0,0,0,1,0,15,25,6,0,0,14,2025-05-13 04:46:20
13135,2025,USA.1,18966,173386,6,3,2,7,1,0,0,0,0,0,3,0,0,0,6,2025-05-13 04:46:16
13135,2025,USA.1,9727,173404,3,0,2,1,1,0,0,0,0,3,5,1,0,0,2,2025-05-13 04:46:21
13135,2025,USA.1,18986,174548,12,0,17,19,1,0,0,4,4,20,38,5,0,2,15,2025-05-13 04:46:17
13135,2025,USA.1,21812,175906,3,0,0,1,0,0,0,0,0,0,0,0,36,9,0,2025-05-13 04:46:21
13135,2025,USA.1,9726,175922,5,1,7,3,2,0,0,0,0,0,2,0,0,2,3,2025-05-13 04:46:20
13135,2025,USA.1,18267,176044,6,5,1,0,0,0,0,0,1,0,1,0,0,0,1,2025-05-13 04:46:14
13135,2025,USA.1,21812,178054,9,0,0,3,0,0,0,0,0,0,0,0,134,31,14,2025-05-13 04:46:21
13135,2025,USA.1,184,179245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:13
13135,2025,USA.1,183,180113,9,1,3,5,1,0,0,2,0,2,4,1,0,5,10,2025-05-13 04:46:14
