seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13281,733209,1,44989249,66,Matheus Vargas (Paysandu) wins a free kick in the defensive half.,Filipinho Foul,1,112,2',3458,0,0,2025-04-10 00:42:22,0.0,0.0,0.548,0.764,0.0,0.0,315789.0,Filipinho,2025-04-26 04:55:57
13281,733209,1,44989249,66,Matheus Vargas (Paysandu) wins a free kick in the defensive half.,Filipinho Foul,1,112,2',3458,0,0,2025-04-10 00:42:22,0.0,0.0,0.548,0.764,0.0,0.0,,Matheus Vargas,2025-04-26 04:55:57
13281,733209,2,44989387,66,Foul by Matheus Vargas (Paysandu).,Matheus Vargas Foul,1,160,3',15424,0,0,2025-04-10 00:42:22,0.0,0.0,0.616,0.493,0.0,0.0,220632.0,Matheus Vargas,2025-04-26 04:55:57
13281,733209,2,44989387,66,Foul by Matheus Vargas (Paysandu).,Matheus Vargas Foul,1,160,3',15424,0,0,2025-04-10 00:42:22,0.0,0.0,0.616,0.493,0.0,0.0,,Filipinho,2025-04-26 04:55:57
13281,733209,3,44989255,68,"Offside, Athletico Paranaense. Luiz Fernando is caught offside.",Bruno Zapelli Offside,1,249,5',3458,0,0,2025-04-10 00:42:22,0.0,0.0,0.674,0.24,0.292,0.056,296574.0,Bruno Zapelli,2025-04-26 04:55:57
13281,733209,4,44989259,66,Foul by Rossi (Paysandu).,Rossi Foul,1,295,5',15424,0,0,2025-04-10 00:42:22,0.0,0.0,0.152,0.831,0.0,0.0,198111.0,Rossi,2025-04-26 04:55:57
13281,733209,4,44989259,66,Foul by Rossi (Paysandu).,Rossi Foul,1,295,5',15424,0,0,2025-04-10 00:42:22,0.0,0.0,0.152,0.831,0.0,0.0,,Fernando,2025-04-26 04:55:57
13281,733209,5,44989281,66,Leandro Vilela (Paysandu) wins a free kick in the defensive half.,Raul Foul,1,471,8',3458,0,0,2025-04-10 00:42:22,0.0,0.0,0.788,0.28,0.0,0.0,224731.0,Raul,2025-04-26 04:55:57
13281,733209,5,44989281,66,Leandro Vilela (Paysandu) wins a free kick in the defensive half.,Raul Foul,1,471,8',3458,0,0,2025-04-10 00:42:22,0.0,0.0,0.788,0.28,0.0,0.0,,Leandro Vilela,2025-04-26 04:55:57
13281,733209,6,44989299,66,Raul (Athletico Paranaense) wins a free kick in the attacking half.,Nicolás Foul,1,589,10',15424,0,0,2025-04-10 00:42:22,0.0,0.0,0.876,0.214,0.0,0.0,161871.0,Nicolás,2025-04-26 04:55:57
