seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13117,734673,1,44985696,80,First Half begins.,,1,0,,0,0,0,2025-04-05 19:27:32,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-04-26 04:55:57
13117,734673,2,44985700,95,"Corner, Palestino. Conceded by Bryan Bentaberry.",Bryan Carrasco Corner Kick,1,42,1',4422,0,0,2025-04-05 20:30:20,0.0,0.0,0.14,0.492,0.0,0.0,169730.0,Bryan Carrasco,2025-04-26 04:55:57
13117,734673,3,44985708,117,Attempt missed. Bryan Carrasco (Palestino) right footed shot from outside the box is high and wide to the right. Assisted by Jonathan Benítez following a fast break.,Bryan Carrasco Shot Off Target,1,94,2',4422,0,0,2025-04-05 19:27:49,0.0,0.0,0.538,0.691,0.0,0.598,169730.0,Bryan Carrasco,2025-04-26 04:55:57
13117,734673,3,44985708,117,Attempt missed. Bryan Carrasco (Palestino) right footed shot from outside the box is high and wide to the right. Assisted by Jonathan Benítez following a fast break.,Bryan Carrasco Shot Off Target,1,94,2',4422,0,0,2025-04-05 19:27:49,0.0,0.0,0.538,0.691,0.0,0.598,134247.0,Jonathan Benítez,2025-04-26 04:55:57
13117,734673,4,44985746,117,"Attempt missed. Cristian Penilla (Mushuc Runa) left footed shot from the centre of the box is close, but misses to the right. Assisted by Ángel Gracia.",Cristian Penilla Shot Off Target,1,553,10',17176,0,0,2025-04-05 19:27:49,0.0,0.0,0.264,0.423,0.0,0.566,144874.0,Cristian Penilla,2025-04-26 04:55:57
13117,734673,4,44985746,117,"Attempt missed. Cristian Penilla (Mushuc Runa) left footed shot from the centre of the box is close, but misses to the right. Assisted by Ángel Gracia.",Cristian Penilla Shot Off Target,1,553,10',17176,0,0,2025-04-05 19:27:49,0.0,0.0,0.264,0.423,0.0,0.566,252403.0,Ángel Gracia,2025-04-26 04:55:57
13117,734673,5,44985757,66,Foul by Nicolás Dávila (Mushuc Runa).,Esteban Dávila Foul,1,654,11',17176,0,0,2025-04-05 19:27:49,0.0,0.0,0.842,0.664,0.0,0.0,252701.0,Esteban Dávila,2025-04-26 04:55:57
13117,734673,5,44985757,66,Foul by Nicolás Dávila (Mushuc Runa).,Esteban Dávila Foul,1,654,11',17176,0,0,2025-04-05 19:27:49,0.0,0.0,0.842,0.664,0.0,0.0,,Ariel Martinez,2025-04-26 04:55:57
13117,734673,6,44985759,135,Attempt blocked. Ariel Martínez (Palestino) left footed shot from outside the box is blocked. Assisted by Junior Marabel.,Ariel Martinez Shot Blocked,1,681,12',4422,0,0,2025-04-05 19:27:49,0.0,0.0,0.594,0.278,0.526,0.307,120602.0,Ariel Martinez,2025-04-26 04:55:57
13117,734673,6,44985759,135,Attempt blocked. Ariel Martínez (Palestino) left footed shot from outside the box is blocked. Assisted by Junior Marabel.,Ariel Martinez Shot Blocked,1,681,12',4422,0,0,2025-04-05 19:27:49,0.0,0.0,0.594,0.278,0.526,0.307,253308.0,Junior Marabel,2025-04-26 04:55:57
