seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13064,724696,1,45001546,80,First Half begins.,,1,0,,0,0,0,2025-04-06 06:52:53,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-04-26 04:55:57
13064,724696,2,45001556,66,Foul by Tarciane (Brazil).,Tarciane Foul,1,16,1',2752,0,0,2025-04-06 06:52:53,0.0,0.0,0.824,0.083,0.0,0.0,351655.0,Tarciane,2025-04-26 04:55:57
13064,724696,2,45001556,66,Foul by Tarciane (Brazil).,Tarciane Foul,1,16,1',2752,0,0,2025-04-06 06:52:53,0.0,0.0,0.824,0.083,0.0,0.0,,Crystal Dunn,2025-04-26 04:55:57
13064,724696,3,45001618,135,Attempt blocked. Amanda Gutierres (Brazil) left footed shot from the centre of the box is blocked. Assisted by Gio Garbelini.,Amanda Gutierres Shot Blocked,1,184,4',2752,0,0,2025-04-06 06:53:11,0.0,0.0,0.284,0.448,0.204,0.471,344300.0,Amanda Gutierres,2025-04-26 04:55:57
13064,724696,3,45001618,135,Attempt blocked. Amanda Gutierres (Brazil) left footed shot from the centre of the box is blocked. Assisted by Gio Garbelini.,Amanda Gutierres Shot Blocked,1,184,4',2752,0,0,2025-04-06 06:53:11,0.0,0.0,0.284,0.448,0.204,0.471,305982.0,Giovana ,2025-04-26 04:55:57
13064,724696,4,45001620,66,Lindsey Heaps (USA) wins a free kick in the defensive half.,Gabi Portilho Foul,1,226,4',2752,0,0,2025-04-06 06:52:53,0.0,0.0,0.508,0.483,0.0,0.0,339855.0,Gabi Portilho,2025-04-26 04:55:57
13064,724696,4,45001620,66,Lindsey Heaps (USA) wins a free kick in the defensive half.,Gabi Portilho Foul,1,226,4',2752,0,0,2025-04-06 06:52:53,0.0,0.0,0.508,0.483,0.0,0.0,,Lindsey Heaps,2025-04-26 04:55:57
13064,724696,5,45001622,68,"Offside, USA. Trinity Rodman is caught offside.",Lindsey Heaps Offside,1,257,5',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.746,0.696,0.158,0.733,228716.0,Lindsey Heaps,2025-04-26 04:55:57
13064,724696,6,45001635,70,"Goal! USA 1, Brazil 0. Trinity Rodman (USA) right footed shot from the centre of the box to the bottom right corner. Assisted by Alyssa Thompson with a through ball.",Trinity Rodman Goal,1,299,5',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.264,0.542,0.0,0.526,317423.0,Trinity Rodman,2025-04-26 04:55:57
13064,724696,6,45001635,70,"Goal! USA 1, Brazil 0. Trinity Rodman (USA) right footed shot from the centre of the box to the bottom right corner. Assisted by Alyssa Thompson with a through ball.",Trinity Rodman Goal,1,299,5',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.264,0.542,0.0,0.526,351658.0,Alyssa Thompson,2025-04-26 04:55:57
13064,724696,7,45001646,66,Foul by Lindsey Heaps (USA).,Lindsey Heaps Foul,1,398,7',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.864,0.658,0.0,0.0,228716.0,Lindsey Heaps,2025-04-26 04:55:57
13064,724696,7,45001646,66,Foul by Lindsey Heaps (USA).,Lindsey Heaps Foul,1,398,7',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.864,0.658,0.0,0.0,,Mariza,2025-04-26 04:55:57
13064,724696,8,45001670,66,Yasmim (Brazil) wins a free kick in the attacking half.,Trinity Rodman Foul,1,464,8',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.976,0.312,0.0,0.0,317423.0,Trinity Rodman,2025-04-26 04:55:57
13064,724696,8,45001670,66,Yasmim (Brazil) wins a free kick in the attacking half.,Trinity Rodman Foul,1,464,8',2765,0,0,2025-04-06 06:52:53,0.0,0.0,0.976,0.312,0.0,0.0,,Yasmim,2025-04-26 04:55:57
