seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13041,724225,1,44737655,94,Julia Stierli (Switzerland) Yellow Card at 25',Julia Stierli Yellow Card,1,1500,25',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,257467.0,Julia Stierli,2025-02-22 05:51:54
13041,724225,2,44737790,76,Alayah Pilgrim (Switzerland) Substitution at 61',Alayah Pilgrim Substitution,2,3660,61',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,351741.0,Alayah Pilgrim,2025-02-22 05:51:54
13041,724225,2,44737790,76,Alayah Pilgrim (Switzerland) Substitution at 61',Alayah Pilgrim Substitution,2,3660,61',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,362989.0,Iman Beney,2025-02-22 05:51:54
13041,724225,3,44737811,94,Alexandra Jóhannsdóttir (Iceland) Yellow Card at 71',Alexandra Jóhannsdóttir Yellow C,2,4260,71',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,285189.0,Alexandra Jóhannsdóttir,2025-02-22 05:51:54
13041,724225,4,44737823,76,Guony Arnadottir (Iceland) Substitution at 73',Guony Arnadottir Substitution,2,4380,73',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,270130.0,Guony Arnadottir,2025-02-22 05:51:54
13041,724225,5,44737824,76,Sandra Jessen (Iceland) Substitution at 73',Sandra Jessen Substitution,2,4380,73',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259754.0,Sandra Jessen,2025-02-22 05:51:54
13041,724225,4,44737823,76,Guony Arnadottir (Iceland) Substitution at 73',Guony Arnadottir Substitution,2,4380,73',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,245932.0,Gudrun Arnardottir,2025-02-22 05:51:54
13041,724225,5,44737824,76,Sandra Jessen (Iceland) Substitution at 73',Sandra Jessen Substitution,2,4380,73',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387854.0,Emilía Ásgeirsdóttir,2025-02-22 05:51:54
13041,724225,6,44737838,94,Dagný Brynjarsdóttir (Iceland) Yellow Card at 76',Dagný Brynjarsdóttir Yellow Card,2,4560,76',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259752.0,Dagný Brynjarsdóttir,2025-02-22 05:51:54
13041,724225,7,44737872,76,Andrea Rán Hauksdóttir (Iceland) Substitution at 82',Andrea Rán Hauksdóttir Substitut,2,4920,82',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,255591.0,Andrea Rán Hauksdóttir,2025-02-22 05:51:54
13041,724225,7,44737872,76,Andrea Rán Hauksdóttir (Iceland) Substitution at 82',Andrea Rán Hauksdóttir Substitut,2,4920,82',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259752.0,Dagný Brynjarsdóttir,2025-02-22 05:51:54
13041,724225,8,44737881,76,Nadine Riesen (Switzerland) Substitution at 84',Nadine Riesen Substitution,2,5040,84',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,342200.0,Nadine Riesen,2025-02-22 05:51:54
13041,724225,9,44737882,76,Alena Bienz (Switzerland) Substitution at 84',Alena Bienz Substitution,2,5040,84',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,363319.0,Alena Bienz,2025-02-22 05:51:54
13041,724225,8,44737881,76,Nadine Riesen (Switzerland) Substitution at 84',Nadine Riesen Substitution,2,5040,84',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,220017.0,Ana-Maria Crnogorevic,2025-02-22 05:51:54
13041,724225,9,44737882,76,Alena Bienz (Switzerland) Substitution at 84',Alena Bienz Substitution,2,5040,84',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,363318.0,Smilla Vallotto,2025-02-22 05:51:54
13041,724225,10,44737910,94,Alayah Pilgrim (Switzerland) Yellow Card at 91',Alayah Pilgrim Yellow Card,2,5400,90'+1',17641,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,351741.0,Alayah Pilgrim,2025-02-22 05:51:54
13041,724225,11,44737916,76,Berglind Ros Agustsdottir (Iceland) Substitution at 92',Berglind Ros Agustsdottir Substi,2,5400,90'+2',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,317693.0,Berglind Ros Agustsdottir,2025-02-22 05:51:54
13041,724225,12,44737917,76,Hafrún Halldórsdóttir (Iceland) Substitution at 93',Hafrún Halldórsdóttir Substituti,2,5400,90'+3',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,317689.0,Hafrún Halldórsdóttir,2025-02-22 05:51:54
13041,724225,11,44737916,76,Berglind Ros Agustsdottir (Iceland) Substitution at 92',Berglind Ros Agustsdottir Substi,2,5400,90'+2',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,285189.0,Alexandra Jóhannsdóttir,2025-02-22 05:51:54
13041,724225,12,44737917,76,Hafrún Halldórsdóttir (Iceland) Substitution at 93',Hafrún Halldórsdóttir Substituti,2,5400,90'+3',3683,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,270127.0,Hlin Eiriksdottir,2025-02-22 05:51:54
